ano,uf,genero,mes,numero
2019,Rondônia,Masculino,Janeiro,0
2019,Rondônia,Masculino,Fevereiro,4
2019,Rondônia,Masculino,Março,1
2019,Rondônia,Masculino,Abril,0
2019,Rondônia,Masculino,Maio,0
2019,Rondônia,Masculino,Junho,2
2019,Rondônia,Masculino,Julho,3
2019,Rondônia,Masculino,Agosto,1
2019,Rondônia,Masculino,Setembro,2
2019,Rondônia,Masculino,Outubro,0
2019,Rondônia,Masculino,Novembro,2
2019,Rondônia,Masculino,Dezembro,2
2019,Acre,Masculino,Janeiro,0
2019,Acre,Masculino,Fevereiro,0
2019,Acre,Masculino,Março,0
2019,Acre,Masculino,Abril,0
2019,Acre,Masculino,Maio,0
2019,Acre,Masculino,Junho,1
2019,Acre,Masculino,Julho,2
2019,Acre,Masculino,Agosto,2
2019,Acre,Masculino,Setembro,0
2019,Acre,Masculino,Outubro,0
2019,Acre,Masculino,Novembro,0
2019,Acre,Masculino,Dezembro,1
2019,Amazonas,Masculino,Janeiro,8
2019,Amazonas,Masculino,Fevereiro,1
2019,Amazonas,Masculino,Março,1
2019,Amazonas,Masculino,Abril,0
2019,Amazonas,Masculino,Maio,3
2019,Amazonas,Masculino,Junho,2
2019,Amazonas,Masculino,Julho,2
2019,Amazonas,Masculino,Agosto,2
2019,Amazonas,Masculino,Setembro,1
2019,Amazonas,Masculino,Outubro,1
2019,Amazonas,Masculino,Novembro,0
2019,Amazonas,Masculino,Dezembro,1
2019,Roraima,Masculino,Janeiro,0
2019,Roraima,Masculino,Fevereiro,1
2019,Roraima,Masculino,Março,0
2019,Roraima,Masculino,Abril,2
2019,Roraima,Masculino,Maio,1
2019,Roraima,Masculino,Junho,0
2019,Roraima,Masculino,Julho,1
2019,Roraima,Masculino,Agosto,1
2019,Roraima,Masculino,Setembro,1
2019,Roraima,Masculino,Outubro,0
2019,Roraima,Masculino,Novembro,0
2019,Roraima,Masculino,Dezembro,0
2019,Pará,Masculino,Janeiro,9
2019,Pará,Masculino,Fevereiro,7
2019,Pará,Masculino,Março,3
2019,Pará,Masculino,Abril,1
2019,Pará,Masculino,Maio,7
2019,Pará,Masculino,Junho,5
2019,Pará,Masculino,Julho,6
2019,Pará,Masculino,Agosto,2
2019,Pará,Masculino,Setembro,2
2019,Pará,Masculino,Outubro,5
2019,Pará,Masculino,Novembro,5
2019,Pará,Masculino,Dezembro,11
2019,Amapá,Masculino,Janeiro,0
2019,Amapá,Masculino,Fevereiro,5
2019,Amapá,Masculino,Março,0
2019,Amapá,Masculino,Abril,0
2019,Amapá,Masculino,Maio,0
2019,Amapá,Masculino,Junho,0
2019,Amapá,Masculino,Julho,0
2019,Amapá,Masculino,Agosto,0
2019,Amapá,Masculino,Setembro,0
2019,Amapá,Masculino,Outubro,0
2019,Amapá,Masculino,Novembro,0
2019,Amapá,Masculino,Dezembro,0
2019,Tocantins,Masculino,Janeiro,1
2019,Tocantins,Masculino,Fevereiro,1
2019,Tocantins,Masculino,Março,0
2019,Tocantins,Masculino,Abril,0
2019,Tocantins,Masculino,Maio,0
2019,Tocantins,Masculino,Junho,1
2019,Tocantins,Masculino,Julho,0
2019,Tocantins,Masculino,Agosto,1
2019,Tocantins,Masculino,Setembro,2
2019,Tocantins,Masculino,Outubro,0
2019,Tocantins,Masculino,Novembro,1
2019,Tocantins,Masculino,Dezembro,1
2019,Maranhão,Masculino,Janeiro,2
2019,Maranhão,Masculino,Fevereiro,1
2019,Maranhão,Masculino,Março,2
2019,Maranhão,Masculino,Abril,1
2019,Maranhão,Masculino,Maio,0
2019,Maranhão,Masculino,Junho,2
2019,Maranhão,Masculino,Julho,1
2019,Maranhão,Masculino,Agosto,0
2019,Maranhão,Masculino,Setembro,1
2019,Maranhão,Masculino,Outubro,0
2019,Maranhão,Masculino,Novembro,3
2019,Maranhão,Masculino,Dezembro,2
2019,Piauí,Masculino,Janeiro,1
